date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:20	13553/13553	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-34f1%22	https://technext.github.io/jony/contact.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/contact.html	(from https://technext.github.io/jony/index.html)
15:55:20	500762/500762	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-7a41a%22	https://technext.github.io/jony/img/about/my_img.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/about/my_img.png	(from https://technext.github.io/jony/index.html)
15:55:20	2746/2746	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-aba%22	https://technext.github.io/jony/img/svg_icon/1.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/1.svg	(from https://technext.github.io/jony/index.html)
15:55:21	4196/4196	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-1064%22	https://technext.github.io/jony/img/svg_icon/2.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/2.svg	(from https://technext.github.io/jony/index.html)
15:55:21	3668/3668	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-e54%22	https://technext.github.io/jony/img/svg_icon/3.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/3.svg	(from https://technext.github.io/jony/index.html)
15:55:21	352133/352133	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-55f85%22	https://technext.github.io/jony/img/gallery/1.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/gallery/1.png	(from https://technext.github.io/jony/index.html)
15:55:21	159912/159912	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-270a8%22	https://technext.github.io/jony/img/gallery/2.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/gallery/2.png	(from https://technext.github.io/jony/index.html)
15:55:22	231934/231934	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-389fe%22	https://technext.github.io/jony/img/gallery/3.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/gallery/3.png	(from https://technext.github.io/jony/index.html)
15:55:22	369564/369564	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-5a39c%22	https://technext.github.io/jony/img/gallery/4.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/gallery/4.png	(from https://technext.github.io/jony/index.html)
15:55:22	8077/8077	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-1f8d%22	https://technext.github.io/jony/img/case/testmonial.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/case/testmonial.png	(from https://technext.github.io/jony/index.html)
15:55:22	253669/253669	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3dee5%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://technext.github.io/jony/index.html)
15:55:23	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-21bc%22	https://technext.github.io/jony/js/vendor/modernizr-3.5.0.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/vendor/modernizr-3.5.0.min.js	(from https://technext.github.io/jony/index.html)
15:55:23	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%225df9b4b3-17b8b%22	https://technext.github.io/jony/js/vendor/jquery-1.12.4.min.js	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/js/vendor/jquery-1.12.4.min.js	(from https://technext.github.io/jony/index.html)
